Temperature,Humidity,Years
83,1,1948.2001612216682
84,1,1801.4701977980205
85,1,1669.6167467292664
86,1,1551.745511049287
87,1,1446.5774931675269
88,1,1352.6748055991536
89,1,1268.5880739757629
90,1,1192.9417163278576
91,1,1124.4757767193528
92,1,1062.060341666868
93,1,1004.6945401928497
94,1,951.498382456205
95,1,901.7027407603357
96,1,854.6406061824106
97,1,809.7411740204467
98,1,766.5271257173263
99,1,724.6145523386156
0,2,6000.999999076898
1,2,6000.999999020012
2,2,6000.999998957225
3,2,6000.999998888332
4,2,6000.999998813281
5,2,6000.999998732227
6,2,6000.9999986455505
7,2,6000.9999985538925
8,2,6000.999998458149
9,2,6000.9999983594425
10,2,6000.99999825907
11,2,6000.999998158431
12,2,6000.999998058927
13,2,6000.999997961888
14,2,6000.9999978684755
15,2,6000.999997779639
16,2,6000.999997696073
17,2,6000.999997618216
18,2,6000.999997546271
19,2,6000.999997480226
20,2,6000.999997419909
21,2,6000.999997365017
22,2,6000.999997315168
23,2,6000.999997269929
24,2,6000.99999722885
25,2,6000.999997191481
26,2,6000.999997157387
27,2,6000.999997126161
28,2,6000.999997097427
29,2,6000.99999707084
30,2,6000.999997046089
31,2,6000.999997022894
32,2,6000.999997001001
33,2,6000.999996980187
34,2,6000.999996960242
35,2,6000.999996940983
36,2,6000.999996922236
37,2,6000.9999969038445
38,2,6000.999996885658
39,2,6000.999996867532
40,2,6000.999996849332
41,2,6000.999996830917
42,2,6000.999996812148
43,2,6000.999996792884
44,2,6000.999996772974
45,2,6000.99999675225
46,2,6000.999996730537
47,2,6000.9999967076255
48,2,6000.999996683284
49,2,6000.9999966572295
50,2,6000.999996629124
51,2,6000.999996598543
52,2,6000.999996564941
53,2,6000.9999965275965
54,2,6000.999996485515
55,2,6000.999996437281
56,2,6000.999996380786
57,2,6000.999996312764
58,2,6000.9999962279135
59,2,6000.999996117226
60,2,6000.999995964583
61,2,6000.999995739446
62,2,6000.999995379722
63,2,6000.99999474717
64,2,6000.999993493341
65,2,6000.999990572604
66,2,6000.999981970185
67,2,6000.999945848601
68,2,6000.999673678455
69,2,6000.99211365619
70,2,5998.947097573979
71,2,5725.531065513649
72,2,4506.765081315075
73,2,3777.3793131276275
74,2,3447.8962193131597
75,2,3220.592176374433
76,2,3010.284161429599
77,2,2798.436454482035
78,2,2585.030954313293
79,2,2375.178547588714
80,2,2174.561398725451
81,2,1987.6324948626334
82,2,1817.056593161037
83,2,1663.8101786812579
84,2,1527.578421044616
85,2,1407.212165297462
86,2,1301.1193356149324
87,2,1207.548090607774
88,2,1124.7661415891007
89,2,1051.1594510350637
90,2,985.2760535685759
91,2,925.8363740836281
